title,category,price_usd,rating,stock_status,num_reviews
Book Title Item #0202,Fiction,26.78,Two,In stock,41
Book Title Item #0203,Business,37.17,Five,In stock,66
Book Title Item #0204,Self-Help,39.8,Three,In stock,50
Book Title Item #0205,History,46.7,Three,In stock,47
Book Title Item #0206,History,10.95,Four,In stock,41
Book Title Item #0207,History,135.98,Three,In stock,48
Book Title Item #0208,History,21.9,Five,In stock,49
Book Title Item #0209,History,51.35,Four,In stock,57
Book Title Item #0210,Self-Help,42.72,Four,In stock,53
Book Title Item #0211,Self-Help,25.86,Five,Out of stock,43
Book Title Item #0212,Science & Tech,48.96,One,In stock,43
Book Title Item #0213,Non-Fiction,22.17,Three,In stock,51
Book Title Item #0214,Arts & Design,36.39,Four,Out of stock,51
Book Title Item #0215,History,94.49,Three,In stock,41
Book Title Item #0216,Fiction,28.97,Four,In stock,55
Book Title Item #0217,Arts & Design,38.33,Five,In stock,54
Book Title Item #0218,Self-Help,20.19,Three,Out of stock,48
Book Title Item #0219,Fiction,51.96,Three,Out of stock,48
Book Title Item #0220,Fiction,24.13,Five,In stock,45
Book Title Item #0221,Fiction,43.16,Three,In stock,42
Book Title Item #0222,Science & Tech,61.0,Four,In stock,34
Book Title Item #0223,Self-Help,32.29,Three,In stock,43
Book Title Item #0224,Fiction,49.37,Five,In stock,49
Book Title Item #0225,History,44.48,Four,In stock,47
Book Title Item #0226,Business,62.2,Four,In stock,52
Book Title Item #0227,Fiction,49.51,Five,In stock,55
Book Title Item #0228,Science & Tech,69.5,Three,In stock,54
Book Title Item #0229,Arts & Design,32.14,Three,In stock,46
Book Title Item #0230,Self-Help,17.91,Five,In stock,55
Book Title Item #0231,Science & Tech,14.38,Three,In stock,40
Book Title Item #0232,Fiction,15.19,Four,In stock,43
Book Title Item #0233,Self-Help,362.98,Five,In stock,40
Book Title Item #0234,Business,40.43,Four,In stock,32
Book Title Item #0235,Fiction,25.14,Four,In stock,38
Book Title Item #0236,Science & Tech,10.05,Five,Out of stock,32
Book Title Item #0237,Non-Fiction,25.39,Five,In stock,39
Book Title Item #0238,History,28.89,Three,In stock,44
Book Title Item #0239,Arts & Design,36.6,One,In stock,50
Book Title Item #0240,Science & Tech,74.49,Three,In stock,48
Book Title Item #0241,Self-Help,12.9,Four,In stock,56
Book Title Item #0242,Fiction,52.25,Four,In stock,46
Book Title Item #0243,History,49.64,Four,In stock,42
Book Title Item #0244,Fiction,32.29,Three,In stock,48
Book Title Item #0245,Self-Help,45.3,Four,In stock,49
Book Title Item #0246,Fiction,33.43,Two,Out of stock,37
Book Title Item #0247,Non-Fiction,49.1,Four,In stock,43
Book Title Item #0248,History,22.78,Four,In stock,40
Book Title Item #0249,History,21.32,Three,In stock,54
Book Title Item #0250,Self-Help,,Three,In stock,35
Book Title Item #0251,Arts & Design,45.41,Four,In stock,35
Book Title Item #0252,Non-Fiction,26.56,Four,In stock,38
Book Title Item #0253,Science & Tech,327.31,Three,In stock,53
Book Title Item #0254,Fiction,21.51,Five,In stock,47
Book Title Item #0255,Business,49.05,Four,In stock,53
Book Title Item #0256,Fiction,40.24,Five,In stock,49
Book Title Item #0257,Fiction,21.91,Three,In stock,39
Book Title Item #0258,Science & Tech,72.93,Four,In stock,43
Book Title Item #0259,Fiction,35.54,Five,In stock,44
Book Title Item #0260,Non-Fiction,,Four,In stock,47
Book Title Item #0261,Non-Fiction,39.8,Four,In stock,43
Book Title Item #0262,History,31.74,Three,In stock,40
Book Title Item #0263,Self-Help,45.51,Three,In stock,44
Book Title Item #0264,Arts & Design,65.21,Two,In stock,34
Book Title Item #0265,Business,31.45,Three,In stock,39
Book Title Item #0266,Fiction,53.98,One,In stock,43
Book Title Item #0267,Fiction,25.13,One,In stock,47
Book Title Item #0268,Science & Tech,87.53,Five,In stock,44
Book Title Item #0269,Self-Help,23.35,Three,In stock,38
Book Title Item #0270,Non-Fiction,103.3,Four,In stock,54
Book Title Item #0271,Business,18.35,Five,In stock,43
Book Title Item #0272,History,30.54,Four,In stock,45
Book Title Item #0273,Non-Fiction,46.73,Two,In stock,46
Book Title Item #0274,Self-Help,67.49,Four,Out of stock,38
Book Title Item #0275,Arts & Design,80.51,Four,In stock,36
Book Title Item #0276,History,74.96,Four,In stock,39
Book Title Item #0277,Arts & Design,45.82,Four,In stock,41
Book Title Item #0278,Science & Tech,24.12,Five,In stock,49
Book Title Item #0279,Science & Tech,60.19,Four,In stock,37
Book Title Item #0280,Fiction,,Three,In stock,52
Book Title Item #0281,Arts & Design,43.3,Four,Out of stock,47
Book Title Item #0282,Self-Help,27.62,One,In stock,47
Book Title Item #0283,Business,19.9,Five,In stock,34
Book Title Item #0284,History,24.98,Two,Out of stock,38
Book Title Item #0285,Non-Fiction,24.3,Three,Out of stock,48
Book Title Item #0286,Self-Help,37.65,Five,In stock,47
Book Title Item #0287,Self-Help,61.75,Four,In stock,46
Book Title Item #0288,,,Three,In stock,52
Book Title Item #0289,Arts & Design,19.07,Four,In stock,39
Book Title Item #0290,Fiction,52.63,Five,In stock,45
Book Title Item #0291,Fiction,406.32,Three,In stock,45
Book Title Item #0292,History,38.92,Five,In stock,50
Book Title Item #0293,Science & Tech,25.42,Two,In stock,41
Book Title Item #0294,Self-Help,21.24,Four,In stock,43
Book Title Item #0295,Business,50.98,Five,In stock,53
Book Title Item #0296,Science & Tech,79.13,Two,In stock,45
Book Title Item #0297,History,31.35,Three,In stock,50
Book Title Item #0298,History,27.63,Two,In stock,43
Book Title Item #0299,Science & Tech,38.44,Four,In stock,50
Book Title Item #0300,History,54.84,Four,In stock,39
Book Title Item #0301,Science & Tech,24.44,Four,In stock,40
Book Title Item #0302,Non-Fiction,41.61,Two,Out of stock,50
Book Title Item #0303,Science & Tech,47.91,Three,In stock,44
Book Title Item #0304,Arts & Design,543.96,One,In stock,33
Book Title Item #0305,Science & Tech,20.26,Three,In stock,47
Book Title Item #0306,History,22.53,Four,In stock,43
Book Title Item #0307,Arts & Design,38.73,Five,In stock,31
Book Title Item #0308,History,,Four,In stock,45
Book Title Item #0309,Fiction,100.55,Three,In stock,35
Book Title Item #0310,Fiction,19.54,Five,In stock,35
Book Title Item #0311,Arts & Design,42.17,Four,In stock,38
Book Title Item #0312,Non-Fiction,36.96,Five,In stock,53
Book Title Item #0313,Fiction,29.14,Four,In stock,41
Book Title Item #0314,Science & Tech,65.72,Three,In stock,45
Book Title Item #0315,History,49.47,One,In stock,48
Book Title Item #0316,Fiction,50.24,Four,In stock,55
Book Title Item #0317,Fiction,18.9,Two,In stock,36
Book Title Item #0318,Non-Fiction,30.56,Three,In stock,38
Book Title Item #0319,Arts & Design,37.99,Four,In stock,40
Book Title Item #0320,Arts & Design,40.45,Four,In stock,43
Book Title Item #0321,Self-Help,113.67,Four,In stock,39
Book Title Item #0322,Non-Fiction,31.46,Two,In stock,42
Book Title Item #0323,,8.63,Three,In stock,53
Book Title Item #0324,Arts & Design,38.26,Four,In stock,48
Book Title Item #0325,History,48.01,Five,In stock,44
Book Title Item #0326,Non-Fiction,38.06,Four,In stock,50
Book Title Item #0327,Fiction,7.2,Five,In stock,48
Book Title Item #0328,History,43.09,Four,In stock,31
Book Title Item #0329,,48.78,Four,In stock,49
Book Title Item #0330,Fiction,17.86,Two,In stock,43
Book Title Item #0331,Non-Fiction,25.3,Four,In stock,45
Book Title Item #0332,Fiction,,Four,In stock,44
Book Title Item #0333,Self-Help,27.17,Four,In stock,40
Book Title Item #0334,History,29.59,Four,In stock,53
Book Title Item #0335,Business,43.29,Four,In stock,51
Book Title Item #0336,Business,26.19,Three,In stock,36
Book Title Item #0337,,15.36,Four,In stock,43
Book Title Item #0338,Arts & Design,58.41,Two,In stock,42
Book Title Item #0339,Fiction,20.58,Five,In stock,49
Book Title Item #0340,Fiction,33.07,Two,In stock,42
Book Title Item #0341,Science & Tech,28.05,Two,In stock,42
Book Title Item #0342,Science & Tech,19.09,Three,In stock,33
Book Title Item #0343,Science & Tech,57.48,Four,In stock,41
Book Title Item #0344,History,54.37,Three,Out of stock,41
Book Title Item #0345,Self-Help,29.91,Three,In stock,40
Book Title Item #0346,Fiction,36.69,Four,In stock,43
Book Title Item #0347,History,39.17,Three,Out of stock,45
Book Title Item #0348,Science & Tech,19.69,Five,In stock,47
Book Title Item #0349,Fiction,21.2,Five,In stock,30
Book Title Item #0350,History,36.39,Four,In stock,53
Book Title Item #0351,Self-Help,18.84,Three,In stock,54
Book Title Item #0352,History,36.21,Four,In stock,48
Book Title Item #0353,Self-Help,9.75,One,In stock,44
Book Title Item #0354,Science & Tech,29.04,Four,In stock,49
Book Title Item #0355,Self-Help,42.9,Three,In stock,36
Book Title Item #0356,Fiction,41.22,Five,In stock,32
Book Title Item #0357,,65.0,One,In stock,47
Book Title Item #0358,Fiction,19.67,Four,In stock,47
Book Title Item #0359,Business,35.29,Four,In stock,49
Book Title Item #0360,Non-Fiction,58.65,Four,In stock,46
Book Title Item #0361,Self-Help,42.72,Two,In stock,42
Book Title Item #0362,Non-Fiction,55.35,Five,In stock,36
Book Title Item #0363,Non-Fiction,18.86,Four,In stock,35
Book Title Item #0364,Self-Help,38.23,Four,In stock,42
Book Title Item #0365,Science & Tech,32.71,Three,In stock,39
Book Title Item #0366,Business,38.79,Four,Out of stock,44
Book Title Item #0367,Fiction,23.7,Three,In stock,41
Book Title Item #0368,History,69.79,One,In stock,49
Book Title Item #0369,Fiction,52.26,Two,In stock,49
Book Title Item #0370,History,65.46,Five,Out of stock,35
Book Title Item #0371,Fiction,42.85,Three,In stock,45
Book Title Item #0372,Self-Help,25.03,Two,In stock,37
Book Title Item #0373,Business,50.42,Four,In stock,46
Book Title Item #0374,History,70.17,Four,Out of stock,59
Book Title Item #0375,Arts & Design,42.82,One,In stock,56
Book Title Item #0376,Science & Tech,22.06,Four,In stock,50
Book Title Item #0377,Fiction,26.87,Two,Out of stock,47
Book Title Item #0378,Fiction,37.75,One,In stock,48
Book Title Item #0379,History,74.83,One,In stock,39
Book Title Item #0380,Science & Tech,86.78,Five,In stock,45
Book Title Item #0381,Science & Tech,23.01,Two,In stock,52
Book Title Item #0382,Self-Help,44.56,One,In stock,46
Book Title Item #0383,Arts & Design,26.69,Three,Out of stock,52
Book Title Item #0384,Self-Help,17.88,Five,In stock,47
Book Title Item #0385,Self-Help,49.74,Three,In stock,37
Book Title Item #0386,Self-Help,39.97,Three,Out of stock,39
Book Title Item #0387,Self-Help,41.29,One,In stock,48
Book Title Item #0388,Self-Help,33.87,Three,In stock,48
Book Title Item #0389,Business,43.33,Four,In stock,55
Book Title Item #0390,Science & Tech,42.49,Four,In stock,41
Book Title Item #0391,Self-Help,56.37,Three,In stock,43
Book Title Item #0392,Science & Tech,23.55,Three,In stock,57
Book Title Item #0393,Science & Tech,57.75,Two,In stock,57
Book Title Item #0394,Non-Fiction,53.65,Three,In stock,46
Book Title Item #0395,Business,43.82,Two,In stock,52
Book Title Item #0396,Self-Help,37.59,Four,Out of stock,46
Book Title Item #0397,Fiction,35.18,Five,In stock,41
Book Title Item #0398,History,35.34,Five,In stock,53
Book Title Item #0399,Arts & Design,37.59,Five,In stock,53
Book Title Item #0400,Fiction,15.75,Four,In stock,45
Book Title Item #0401,Business,106.55,Four,In stock,48
Book Title Item #0402,History,63.03,Three,In stock,50
Book Title Item #0403,Business,87.23,Four,Out of stock,32
Book Title Item #0404,Science & Tech,50.83,Four,Out of stock,47
Book Title Item #0405,,26.28,Four,In stock,33
Book Title Item #0406,,47.3,Four,Out of stock,46
Book Title Item #0407,Fiction,56.12,Three,In stock,49
Book Title Item #0408,Fiction,22.05,Three,In stock,42
Book Title Item #0409,History,69.45,Five,In stock,48
Book Title Item #0410,History,29.4,One,In stock,46
Book Title Item #0411,Self-Help,53.27,Four,In stock,49
Book Title Item #0412,Business,74.53,Five,In stock,47
Book Title Item #0413,Self-Help,42.75,Four,In stock,39
Book Title Item #0414,Business,74.8,Four,In stock,44
Book Title Item #0415,Self-Help,16.16,Three,In stock,45
Book Title Item #0416,Science & Tech,19.84,Three,Out of stock,45
Book Title Item #0417,History,23.5,Five,In stock,44
Book Title Item #0418,Fiction,11.0,Four,In stock,42
Book Title Item #0419,Business,13.91,Four,In stock,46
Book Title Item #0420,Business,74.88,Two,In stock,46
Book Title Item #0421,Fiction,539.2,One,In stock,42
Book Title Item #0422,Self-Help,27.02,Five,In stock,30
Book Title Item #0423,Business,102.95,Three,In stock,33
Book Title Item #0424,Arts & Design,31.53,Four,Out of stock,52
Book Title Item #0425,Science & Tech,89.08,One,In stock,48
Book Title Item #0426,History,90.02,Four,In stock,54
Book Title Item #0427,Fiction,26.24,Five,In stock,41
Book Title Item #0428,History,56.11,Four,In stock,43
Book Title Item #0429,Arts & Design,64.22,Two,In stock,43
Book Title Item #0430,Business,25.88,Four,In stock,49
Book Title Item #0431,Business,7.6,Four,In stock,52
Book Title Item #0432,Arts & Design,55.39,Three,In stock,49
Book Title Item #0433,Fiction,23.15,Five,In stock,53
Book Title Item #0434,Science & Tech,34.41,Four,Out of stock,39
Book Title Item #0435,Non-Fiction,40.86,Five,In stock,40
Book Title Item #0436,Fiction,49.67,Four,In stock,46
Book Title Item #0437,Non-Fiction,,Two,In stock,45
Book Title Item #0438,Arts & Design,42.4,Three,In stock,46
Book Title Item #0439,Self-Help,66.69,Three,In stock,41
Book Title Item #0440,,12.06,Five,In stock,39
Book Title Item #0441,Science & Tech,16.54,Four,In stock,53
Book Title Item #0442,Self-Help,19.05,Four,In stock,43
Book Title Item #0443,Non-Fiction,27.72,Three,In stock,44
Book Title Item #0444,Arts & Design,54.61,Two,In stock,45
Book Title Item #0445,Self-Help,61.8,Four,In stock,50
Book Title Item #0446,Arts & Design,33.32,Four,In stock,45
Book Title Item #0447,Non-Fiction,33.37,Three,In stock,50
Book Title Item #0448,Arts & Design,72.7,Four,In stock,51
Book Title Item #0449,Science & Tech,41.19,One,In stock,39
Book Title Item #0450,Non-Fiction,30.13,Three,In stock,44
Book Title Item #0451,Non-Fiction,58.07,Four,In stock,50
Book Title Item #0452,Non-Fiction,54.79,Two,In stock,36
Book Title Item #0453,Fiction,45.38,Five,In stock,47
Book Title Item #0454,Fiction,27.02,Three,In stock,33
Book Title Item #0455,Fiction,21.42,Two,Out of stock,49
Book Title Item #0456,Science & Tech,22.49,Three,In stock,54
Book Title Item #0457,Self-Help,23.19,Four,In stock,43
Book Title Item #0458,Arts & Design,22.1,Three,In stock,51
Book Title Item #0459,Business,27.75,Four,In stock,49
Book Title Item #0460,Non-Fiction,36.72,One,Out of stock,41
Book Title Item #0461,Arts & Design,39.02,One,Out of stock,52
Book Title Item #0462,Non-Fiction,19.55,Three,In stock,45
Book Title Item #0463,Science & Tech,42.08,Five,In stock,44
Book Title Item #0464,Non-Fiction,38.73,Five,In stock,44
Book Title Item #0465,,34.89,Two,In stock,44
Book Title Item #0466,Business,26.55,Four,In stock,55
Book Title Item #0467,History,19.79,Five,In stock,63
Book Title Item #0468,Non-Fiction,49.44,Three,Out of stock,47
Book Title Item #0469,Arts & Design,308.93,Five,In stock,60
Book Title Item #0470,Fiction,,Two,In stock,50
Book Title Item #0471,History,29.33,Five,Out of stock,40
Book Title Item #0472,Business,27.5,Four,Out of stock,46
Book Title Item #0473,History,61.36,Five,In stock,41
Book Title Item #0474,,122.69,Four,In stock,47
Book Title Item #0475,Self-Help,31.54,Three,In stock,45
Book Title Item #0476,Self-Help,40.07,Five,In stock,43
Book Title Item #0477,History,35.4,Three,Out of stock,43
Book Title Item #0478,Science & Tech,23.34,Three,Out of stock,46
Book Title Item #0479,Arts & Design,28.98,Four,In stock,45
Book Title Item #0480,Arts & Design,94.75,Four,In stock,45
Book Title Item #0481,History,24.98,Five,In stock,47
Book Title Item #0482,Non-Fiction,38.46,Three,Out of stock,43
Book Title Item #0483,Non-Fiction,25.91,Four,In stock,48
Book Title Item #0484,Arts & Design,35.85,Four,In stock,38
Book Title Item #0485,Arts & Design,25.01,One,In stock,41
Book Title Item #0486,Self-Help,27.99,Three,In stock,53
Book Title Item #0487,Science & Tech,16.19,Three,In stock,33
Book Title Item #0488,Fiction,38.89,Three,In stock,38
Book Title Item #0489,Non-Fiction,30.43,Five,Out of stock,51
Book Title Item #0490,Arts & Design,48.09,Four,Out of stock,43
Book Title Item #0491,Self-Help,35.81,Four,In stock,49
Book Title Item #0492,Business,24.63,Five,In stock,49
